World-Case,Architecture,Time(seconds),Distance(meters),Speed(m/s)
case02-0,MotorSchema,27.297000000,106.376,3.93985,
case02-0,MotorSchema,27.300000000,106.349,3.93885,
case02-1,MotorSchema,26.910000000,109.346,4.20561,
case02-1,MotorSchema,26.897000000,109.286,4.20332,
case02-2,MotorSchema,26.399000000,99.8585,3.84071,
case02-2,MotorSchema,26.392000000,99.8929,3.84203,
case02-3,MotorSchema,51.309000000,161.576,3.16817,
case02-3,MotorSchema,51.996000000,160.762,3.09181,
case02-0,DAMN,41.200000000,115.637,2.82041,
case02-0,DAMN,44.700000000,118.425,2.69148,
case02-1,DAMN,35.400000000,115.954,3.31296,
case02-1,DAMN,33.101000000,114.335,3.46469,
case02-2,DAMN,0.00000000,0.00,0.00,
case02-2,DAMN,0.00000000,0.00,0.00,
case02-3,DAMN,32.902000000,111.397,3.48117,
case02-3,DAMN,33.801000000,111.745,3.38622,
case02-0,Subsumption,27.6000000,102.759,3.80589,
case02-0,Subsumption,27.9000000,102.757,3.80581,
case02-1,Subsumption,27.208000000,108.001,4.00003,
case02-1,Subsumption,27.505000000,108.292,4.01082,
case02-2,Subsumption,28.105000000,100.921,3.60431,
case02-2,Subsumption,28.104000000,100.943,3.60512,
case02-3,Subsumption,29.814000000,107.895,3.72053,
case02-3,Subsumption,34.417000000,109.212,3.21212,
